,Species,TREE_ID,X_old,X,Y_old,Y,Year,logF_current
211,Quercus agrifolia,54959_1_97_6_3_121,-122.75002,-122.75002,38.70837,38.70837,2008,2.576167625
212,Quercus agrifolia,54959_1_97_6_3_121,-122.75001,-122.75041,38.70836,38.70846,2018,2.048663125
213,Quercus agrifolia,54959_1_97_6_3_122,-122.75009,-122.75059,38.70835,38.70925,2008,2.206933025
214,Quercus agrifolia,54959_1_97_6_3_122,-122.75005,-122.75065,38.70842,38.70852,2018,1.694499325
215,Quercus agrifolia,54959_1_97_6_3_310,-122.75006,-122.75056,38.70839,38.70879,2008,2.941997465
216,Quercus agrifolia,54959_1_97_6_3_310,-122.75006,-122.75016,38.70833,38.70903,2018,2.491577526
217,Quercus agrifolia,54959_1_97_6_4_111,-122.75001,-122.75031,38.70833,38.70853,2008,2.598773825
218,Quercus agrifolia,54959_1_97_6_4_111,-122.75009,-122.75049,38.70841,38.70841,2018,2.056198525
219,Quercus agrifolia,54959_1_97_6_4_112,-122.75007,-122.75037,38.7084,38.7088,2008,2.584967319
220,Quercus agrifolia,54959_1_97_6_4_112,-122.75,-122.7502,38.7084,38.7089,2018,2.02208137
221,Quercus agrifolia,54959_1_97_6_4_304,-122.75003,-122.75023,38.70835,38.70895,2008,2.973644522
222,Quercus agrifolia,54959_1_97_6_4_304,-122.75008,-122.75078,38.70842,38.70932,2018,2.554116763
223,Quercus agrifolia,54959_1_97_6_4_305,-122.75008,-122.75048,38.70835,38.70875,2008,2.03961071
224,Quercus agrifolia,54959_1_97_6_4_305,-122.75001,-122.75091,38.70838,38.70908,2018,1.484219397
225,Quercus agrifolia,54959_1_97_6_4_306,-122.75008,-122.75008,38.70842,38.70892,2008,2.146029408
226,Quercus agrifolia,54959_1_97_6_4_306,-122.75002,-122.75052,38.70838,38.70888,2018,1.618192207
227,Quercus agrifolia,54959_1_97_6_4_307,-122.75002,-122.75022,38.70842,38.70892,2008,2.124842404
228,Quercus agrifolia,54959_1_97_6_4_307,-122.75006,-122.75096,38.70833,38.70833,2018,1.613617231
229,Quercus agrifolia,55020_4_83_6_3_104,-120.12505,-120.12515,34.91673,34.91723,2005,1.993868017
230,Quercus agrifolia,55020_4_83_6_3_104,-120.12506,-120.12516,34.91676,34.91686,2015,1.310575901
231,Quercus agrifolia,55020_4_83_6_3_105,-120.12508,-120.12598,34.91672,34.91752,2015,1.247269832
232,Quercus agrifolia,55020_4_83_6_3_105,-120.125,-120.1257,34.91669,34.91729,2005,1.842290595
233,Quercus agrifolia,55020_4_83_6_3_106,-120.12503,-120.12513,34.91671,34.91721,2005,1.666107027
234,Quercus agrifolia,55020_4_83_6_3_106,-120.12507,-120.12527,34.91667,34.91697,2015,1.069221452
235,Quercus agrifolia,55020_4_83_6_3_107,-120.12503,-120.12553,34.91671,34.91761,2005,1.507875506
236,Quercus agrifolia,55020_4_83_6_3_107,-120.12507,-120.12537,34.91676,34.91726,2015,0.849137508
237,Quercus agrifolia,55020_4_83_6_3_108,-120.12503,-120.12503,34.91674,34.91754,2005,1.608347998
238,Quercus agrifolia,55020_4_83_6_3_108,-120.12507,-120.12547,34.91675,34.91745,2015,0.964429797
239,Quercus agrifolia,55020_4_83_6_3_109,-120.12505,-120.12545,34.91675,34.91675,2005,1.742127341
240,Quercus agrifolia,55020_4_83_6_3_109,-120.12502,-120.12512,34.91668,34.91678,2015,1.086748303
241,Quercus agrifolia,55020_4_83_6_3_110,-120.12503,-120.12543,34.91671,34.91711,2005,1.755912868
242,Quercus agrifolia,55020_4_83_6_3_110,-120.12507,-120.12547,34.91673,34.91723,2015,1.097899572
